loss,mean_absolute_error,val_loss,val_mean_absolute_error,epoch
23.870899200439453,4.8798675537109375,21.815532684326172,4.670021057128906,1
21.17870330810547,4.597460746765137,18.83176612854004,4.331456661224365,2
18.819232940673828,4.321930885314941,16.43816375732422,4.021536350250244,3
17.015718460083008,4.090009689331055,14.452552795410156,3.726274013519287,4
15.277063369750977,3.8343138694763184,12.838479995727539,3.4453558921813965,5
13.946176528930664,3.6126723289489746,11.490314483642578,3.168442964553833,6
12.71440315246582,3.392164945602417,10.346282005310059,2.891519784927368,7
11.609644889831543,3.156956195831299,9.404584884643555,2.742213726043701,8
10.629159927368164,2.930236339569092,8.732754707336426,2.5860302448272705,9
9.8010835647583,2.7615458965301514,8.370777130126953,2.5089383125305176,10
9.16125202178955,2.622929811477661,8.316543579101562,2.4730095863342285,11
8.852181434631348,2.5470738410949707,8.492330551147461,2.564781665802002,12
8.516728401184082,2.49371337890625,8.703727722167969,2.644684076309204,13
8.481427192687988,2.4992456436157227,8.895683288574219,2.699317693710327,14
8.298885345458984,2.460200309753418,8.843896865844727,2.6964526176452637,15
8.160791397094727,2.4367241859436035,8.65656566619873,2.667269468307495,16
7.987996578216553,2.4116127490997314,8.376294136047363,2.6196351051330566,17
7.7952680587768555,2.384489059448242,8.075433731079102,2.565408706665039,18
7.613616943359375,2.358564615249634,7.765660285949707,2.5058302879333496,19
7.4194231033325195,2.331214666366577,7.501572608947754,2.4550890922546387,20
7.2485761642456055,2.307149887084961,7.2395830154418945,2.402900218963623,21
7.074400424957275,2.2775707244873047,7.000621795654297,2.3555076122283936,22
6.890717506408691,2.2485554218292236,6.800698280334473,2.3208260536193848,23
6.7111711502075195,2.2191293239593506,6.617358207702637,2.2929468154907227,24
6.516131401062012,2.1858761310577393,6.4624481201171875,2.2728264331817627,25
6.338685035705566,2.155233144760132,6.296355724334717,2.2492218017578125,26
6.106215953826904,2.1143414974212646,6.089265823364258,2.212082624435425,27
5.918108940124512,2.080392837524414,5.887847900390625,2.177177906036377,28
5.7016801834106445,2.0418412685394287,5.653461933135986,2.1316800117492676,29
5.486124515533447,2.0026164054870605,5.400134086608887,2.077105760574341,30
5.273900508880615,1.9638938903808594,5.158722877502441,2.026750087738037,31
5.049923419952393,1.9222190380096436,4.920920372009277,1.979540228843689,32
4.814464092254639,1.8751169443130493,4.702876091003418,1.9419269561767578,33
4.574292182922363,1.826446294784546,4.497225284576416,1.907833456993103,34
4.345967769622803,1.7753547430038452,4.31793737411499,1.8775039911270142,35
4.08315896987915,1.7210299968719482,4.051939487457275,1.8162040710449219,36
3.840930223464966,1.6683679819107056,3.807237148284912,1.7606035470962524,37
3.577418565750122,1.6103546619415283,3.5782077312469482,1.7074066400527954,38
3.3543434143066406,1.5578097105026245,3.3244621753692627,1.6437610387802124,39
3.0900022983551025,1.494052529335022,3.0209784507751465,1.5569522380828857,40
2.8403000831604004,1.4359828233718872,2.7532143592834473,1.4811294078826904,41
2.6166889667510986,1.375366449356079,2.470003366470337,1.3983641862869263,42
2.3845813274383545,1.311575174331665,2.2212042808532715,1.3269059658050537,43
2.121520519256592,1.2393639087677002,1.9908525943756104,1.2587850093841553,44
1.9072904586791992,1.1718251705169678,1.7858030796051025,1.197615385055542,45
1.681359887123108,1.09755539894104,1.5763012170791626,1.1233646869659424,46
1.47444486618042,1.026850938796997,1.3661141395568848,1.0388844013214111,47
1.27156662940979,0.9538505673408508,1.1803057193756104,0.9584223628044128,48
1.0917549133300781,0.8816218376159668,1.0034233331680298,0.8752791285514832,49
0.9257726669311523,0.8106335401535034,0.8430787920951843,0.7933429479598999,50
0.7710517644882202,0.7389011383056641,0.6976220011711121,0.7116915583610535,51
0.6356068849563599,0.666945219039917,0.5668065547943115,0.6307469606399536,52
0.5144516825675964,0.6002047657966614,0.4495294690132141,0.5516374707221985,53
0.4142387807369232,0.5357049703598022,0.35691019892692566,0.4837450385093689,54
0.32208508253097534,0.4702172875404358,0.2775806188583374,0.4189688563346863,55
0.2495238035917282,0.4101371169090271,0.21910664439201355,0.3585992753505707,56
0.19435852766036987,0.3570099472999573,0.17467477917671204,0.3021881580352783,57
0.14450675249099731,0.30500420928001404,0.14079470932483673,0.2514770030975342,58
0.10916297137737274,0.26739010214805603,0.11271362006664276,0.2059582769870758,59
0.0793064683675766,0.22896523773670197,0.09412425756454468,0.18486085534095764,60
0.06382475793361664,0.20953969657421112,0.08179245889186859,0.17215590178966522,61
0.049127012491226196,0.18389181792736053,0.07422132790088654,0.1625474989414215,62
0.042876385152339935,0.17387545108795166,0.06949898600578308,0.15051932632923126,63
0.03625548258423805,0.16458888351917267,0.06703440845012665,0.14729705452919006,64
0.03361150994896889,0.1626344621181488,0.06621216237545013,0.15807819366455078,65
0.03221820294857025,0.1608932763338089,0.06542903184890747,0.17064666748046875,66
